Ingredient,Type,Purpose,Skin Type
Honey Extract (Extrait De Miel),Extract,"Hydrates, provides antibacterial benefits",All skin types
Tetrapeptide-14,Peptide,"Reduces inflammation, boosts collagen",All skin types
Palmitoyl Tripeptide-38,Peptide,"Reduces wrinkles, promotes collagen synthesis",All skin types
Sucrose Palmitate,Emulsifier,"Stabilizes formulations, enhances texture",All skin types
Glutathione,Antioxidant,"Brightens skin, reduces oxidative stress",All skin types
Triglycerides Of Caprylic/Capric Acid,Emollient,"Moisturizes, soothes skin",Dry skin
Glyceryl Linoleate,Emollient,"Provides moisture, helps repair the skin barrier",Dry skin
Decyl Glucoside,Surfactant,"Cleanses skin, mild cleansing agent",Sensitive skin
Ammonium Acryloyldimethyltaurate/VP Copolymer,Polymer/Thickener,"Stabilizes emulsions, enhances texture",All skin types
Hydroxypropyl Cyclodextrin,Encapsulating Agent,Enhances delivery of active ingredients,All skin types
Polysilicone-11,Silicone,"Enhances spreadability, smooths texture",All skin types
Sodium Hydroxide,pH Adjuster,Balances pH of formulations,All skin types
Potassium Sorbate,Preservative,"Prevents microbial growth, extends shelf life",All skin types
Water (Eau),Solvent,Base for dissolving ingredients,All skin types
Glycerin,Humectant,Moisturizes and maintains skin hydration,Dry skin
Dimethicone,Silicone,"Forms a barrier, smoothens, moisturizes skin","Oily, combination skin"
Stearic Acid,Fatty Acid,"Emulsifier, thickens the product",All skin types
Isopropyl Palmitate,Emollient,Softens and smoothens the skin,Dry skin
Glycol Stearate,Emulsifier,"Stabilizes emulsions, improves texture",All skin types
PEG-100 Stearate,Emulsifier,"Stabilizes emulsions, improves texture",All skin types
Petrolatum,Occlusive agent,"Forms a barrier, prevents moisture loss",Dry skin
Glyceryl Stearate,Emulsifier,"Stabilizes emulsions, improves texture",All skin types
Caprylyl Glycol,Humectant/Preservative,Moisturizes and prevents microbial growth,All skin types
Phenoxyethanol,Preservative,Prevents microbial growth,All skin types
Cetyl Alcohol,Emollient/Emulsifier,"Softens skin, stabilizes emulsions",All skin types
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Thickener/Film-forming agent,"Stabilizes formulas, smoothens the texture",All skin types
Triethanolamine,pH Adjuster,Adjusts pH levels of the product,All skin types
Fragrance (Parfum),Fragrance,Adds scent to the product,All skin types
Helianthus Annuus (Sunflower) Seed Oil,Oil,"Moisturizes, softens, and has antioxidant properties",All skin types
Triolein,Emollient,"Moisturizes, smoothens the skin",All skin types
Disodium EDTA,Chelating Agent,"Stabilizes the formulation, prevents degradation",All skin types
Stearamide AMP,Surfactant/Emulsifier,"Enhances emulsification, improves texture",All skin types
Carbomer,Thickener/Viscosity Agent,"Stabilizes the product, enhances texture",All skin types
Titanium Dioxide (CI 77891),Sunscreen agent/Opacifier,"Provides UV protection, gives opacity to the formula",All skin types
Ethoxydiglycol,Solvent,"Helps dissolve other ingredients, improves absorption",All skin types
Ascorbic Acid,Antioxidant/Vitamin C,"Brightens skin, reduces signs of aging",All skin types
Propylene Glycol,Humectant/Preservative,Draws moisture into the skin,Dry skin
Laureth-23,Surfactant,"Cleanses and foams, emulsifies",All skin types
Tocopherol,Vitamin E/Antioxidant,"Protects skin from free radicals, moisturizes",All skin types
Triethanolamine,pH Adjuster,"Balances pH, stabilizes product",All skin types
Ferulic Acid,Antioxidant,"Protects from free radicals, brightens skin",All skin types
Panthenol,Vitamin B5/Humectant,"Soothes, hydrates, improves skin barrier","Dry, sensitive skin"
Sodium Hyaluronate,Humectant,"Hydrates skin, plumps up fine lines",Dry skin
Gluconolactone,Polyhydroxy Acid,"Exfoliates, improves skin texture",Sensitive skin
Butylene Glycol,Humectant,"Moisturizes, draws water into the skin",Dry skin
PEG/PPG/Polybutylene Glycol-8/5/3 Glycerin,Humectant/Emulsifier,Moisturizes and softens skin,All skin types
Alcohol Denat,Solvent/Antiseptic,"Helps dissolve other ingredients, dries skin","Oily, acne-prone skin"
Pentylene Glycol,Humectant/Preservative,Moisturizes and stabilizes formulations,All skin types
Methyl Gluceth-20,Humectant,Hydrates and soothes skin,"Dry, sensitive skin"
Potassium Hydroxide,pH Adjuster,Adjusts pH of the product,All skin types
Salicylic Acid,Beta Hydroxy Acid (BHA),"Exfoliates, unclogs pores, treats acne","Oily, acne-prone skin"
Chlorphenesin,Preservative,Prevents microbial growth,All skin types
Phytic Acid,Exfoliant/Antioxidant,"Exfoliates, brightens skin, reduces pigmentation",Sensitive skin
Adenosine,Anti-aging,"Smoothens wrinkles, boosts collagen production",All skin types
Sodium Benzoate,Preservative,Prevents microbial growth,All skin types
Laminaria Digitata Extract,Extract,"Provides minerals, hydrates and soothes skin",All skin types
Panax Ginseng Root Oil,Oil,Revitalizes and energizes the skin,All skin types
Lauryl Dimethicone/Polyglycerin-3 Crosspolymer,Film-forming agent,"Forms a smooth texture, prevents moisture loss",All skin types
Polymethylsilsesquioxane,Silicone/Film-forming agent,"Smoothens skin, provides a matte finish","Oily, combination skin"
Polyacrylate Crosspolymer-6,Polymer/Thickener,"Stabilizes formula, provides a smooth texture",All skin types
Xanthan Gum,Thickener/Viscosity Agent,"Improves texture, stabilizes products",All skin types
Ammonium Polyacryloyldimethyl Taurate,Polymer/Thickener,"Stabilizes emulsions, provides texture",All skin types
Helianthus Annuus Seed Oil Unsaponifiables,Oil/Emollient,"Moisturizes, nourishes skin","Dry, sensitive skin"
Myristyl Myristate,Emollient,"Provides a smooth texture, softens skin",All skin types
Capryloyl Glycine,Antibacterial,Reduces acne-causing bacteria,"Oily, acne-prone skin"
Hydrolyzed Rice Protein,Protein,"Strengthens skin barrier, hydrates skin","Sensitive, dry skin"
Coco-Glucoside,Surfactant,"Gentle cleanser, emulsifier",Sensitive skin
Argilla/Magnesium Aluminium Silicate,Thickener,"Stabilizes formulations, provides smooth texture",All skin types
Lavandula Angustifolia Oil/Lavender Oil,Essential Oil,"Soothes, provides fragrance",Sensitive skin
Mentha Piperita Oil/Peppermint Oil,Essential Oil,"Provides cooling sensation, antimicrobial",Oily skin
Glaucine,Brightening Agent,"Reduces pigmentation, evens skin tone",All skin types
Tetradecyl Aminobutyroylvalylaminobutyric Urea Trifluoroacetate,Peptide,"Reduces wrinkles, boosts skin elasticity",All skin types
Magnesium Chloride,Mineral,"Hydrates, strengthens skin",Sensitive skin
Hydrated Silica,Abrasive/Exfoliant,"Gently exfoliates, removes impurities",All skin types
Propylene Glycol,Humectant,"Retains moisture, improves hydration",All skin types
Cocamidopropyl Betaine,Surfactant,"Cleanses skin, reduces irritation",Sensitive skin
Sodium Laureth Sulfate,Surfactant,"Cleanses skin, foaming agent","Oily, combination skin"
Triethanolamine,pH Adjuster,Balances pH of formulations,All skin types
Polysorbate 21,Emulsifier,"Stabilizes formulations, improves texture",All skin types
PEG-180,Humectant/Thickener,"Retains moisture, improves product consistency",All skin types
Hydroxyethyl Urea,Humectant,"Enhances hydration, smooths texture","Dry, sensitive skin"
Behentrimonium Chloride,Surfactant/Conditioner,"Cleanses and conditions, reduces static",All skin types
Parfum/Fragrance,Fragrance,Adds scent to the product,All skin types
Amodimethicone,Silicone,"Improves texture, reduces frizz",All skin types
Prunus Armeniaca Seed Powder/Apricot Seed Powder,Exfoliant,Gently exfoliates skin,All skin types
Cetyl Esters,Emollient,"Enhances smoothness, provides conditioning",Dry skin
Hydroxyethylcellulose,Thickener/Film Former,"Provides texture, stabilizes formulations",All skin types
Benzoic Acid,Preservative,Prevents microbial growth,All skin types
Isopropyl Alcohol,Solvent,Helps dissolve ingredients,Oily skin
Trideceth-6,Surfactant,Helps solubilize oils in water,All skin types
Citronellol,Fragrance Component,Adds a floral scent,All skin types
Chlorhexidine Digluconate,Antiseptic,Reduces bacterial growth,All skin types
Linalool,Fragrance Component,Adds a floral scent,All skin types
Limonene,Fragrance Component,Adds a citrus scent,All skin types
Geraniol,Fragrance Component,Adds a floral scent,All skin types
Cetrimonium Chloride,Surfactant/Conditioner,"Softens hair, reduces frizz",All skin types
Algae Extract,Extract,Hydrates and nourishes skin,All skin types
Melia Azadirachta Leaf Extract,Extract,"Soothes skin, provides antioxidant benefits",Sensitive skin
Cetearyl Alcohol,Emollient/Thickener,"Softens skin, stabilizes emulsions",All skin types
Di-C12-13 Alkyl Malate,Emollient,Softens and smoothens skin,All skin types
PPG-5-Laureth-5,Surfactant,Improves texture and cleanses,All skin types
Steareth-21,Emulsifier,"Stabilizes formulations, enhances texture",All skin types
Pentaerythrityl Distearate,Emollient/Thickener,"Provides a smooth texture, conditions skin",Dry skin
Imidazolidinyl Urea,Preservative,Prevents microbial growth,All skin types
Lactobacillus/Punica Granatum Fruit Ferment Extract,Ferment/Extract,"Hydrates skin, provides antioxidant benefits",Sensitive skin
Hexyl Cinnamal,Fragrance Component,Adds a floral scent,All skin types
Benzyl Salicylate,Fragrance Component,Adds a sweet scent,All skin types
Alpha-Isomethyl Ionone,Fragrance Component,Adds a floral scent,All skin types
Populus Tremuloides Bark Extract,Extract,"Soothes skin, provides antioxidant benefits",Sensitive skin
Cellulose,Thickener/Film Former,"Provides texture, enhances formulation",All skin types
Isopropyl Palmitate,Emollient,Softens and smoothens skin,Dry skin
Petrolatum,Occlusive,"Locks in moisture, prevents water loss","Dry, sensitive skin"
Titanium Dioxide,Mineral UV Filter,Protects from UV rays,All skin types
Mannan,Thickener/Emollient,"Provides structure, hydrates skin",All skin types
Panthenol,Pro-Vitamin B5,"Hydrates, soothes, and promotes healing",All skin types
Hydrogenated C12-18 Triglycerides,Emollient,Moisturizes and softens skin,Dry skin
Rosa Centifolia Flower Water,Extract,Hydrates and soothes skin,Sensitive skin
Carapa Guaianensis Seed Powder,Exfoliant,Gently exfoliates skin,All skin types
Inulin Lauryl Carbamate,Skin Conditioner,Hydrates and softens skin,All skin types
Squalane,Emollient,Moisturizes and improves skin elasticity,"Dry, sensitive skin"
Sodium Stearoyl Lactylate,Emulsifier,"Stabilizes formulations, enhances texture",All skin types
Trisodium Ethylenediamine Disuccinate,Chelating Agent,Enhances stability of formulations,All skin types
Sodium Laurylglucosides Hydroxypropylsulfonate,Surfactant,Gently cleanses skin,All skin types
Glycine Soja (Soybean) Oil,Emollient,"Moisturizes, softens, and nourishes skin",Dry skin
Theobroma Cacao (Cocoa) Extract,Antioxidant/Conditioner,"Protects skin, hydrates, and soothes",All skin types
Sorbitan Sesquioleate,Emulsifier,"Stabilizes formulations, enhances texture",All skin types
Juglans Regia (Walnut) Shell Powder,Exfoliant,Gently exfoliates skin,All skin types
Lauramidopropyl Betaine,Surfactant,"Cleanses skin, provides mild foaming",All skin types
Theobroma Cacao (Cocoa) Powder,Antioxidant/Conditioner,Protects skin and provides nourishment,All skin types
Hydrolyzed Milk Protein,Protein/Conditioner,"Moisturizes, soothes, and strengthens skin",All skin types
PVP,Film-forming Agent,Provides smooth texture and stability,All skin types
Sodium Acetate,pH Adjuster,Balances pH in formulations,All skin types
Benzyl Benzoate,Fragrance Ingredient,Adds fragrance to products,All skin types
Olea Europaea Leaf Extract,Extract,"Antioxidant, soothes and protects skin",All skin types
Sodium Olivamphoacetate,Surfactant,"Cleanses skin, mild foaming agent",All skin types
PPG-26-Buteth-26,Solubilizer/Emulsifier,Enhances solubility of ingredients,All skin types
PEG-40 Hydrogenated Castor Oil,Emulsifier,"Stabilizes formulations, enhances texture",All skin types
Hydroxypropyl Methylcellulose,Thickener,Provides structure and stability to formulas,All skin types
Ci 47005 (D&C Yellow No. 10),Colorant,Adds yellow pigment to formulations,All skin types
Ci 42090 (FD&C Blue No. 1),Colorant,Adds blue pigment to formulations,All skin types
Ci 19140 (FD&C Yellow No. 5),Colorant,Adds yellow pigment to formulations,All skin types
Sodium Lauroyl Methyl Isethionate*,Surfactant,Cleansing,All skin types
Cocamidopropyl Betaine*,Surfactant,"Cleansing, foam boosting",Sensitive skin
Sodium Cocoyl Isethionate*,Surfactant,Mild cleansing,"Dry, sensitive"
Glycerin*,Humectant,Hydration,All skin types
Cocos Nucifera (Coconut) Oil,Emollient,Moisturizing,Dry skin
Glyceryl Stearate*,Emulsifier,Stabilizing formulations,All skin types
Sodium Methyl Oleoyl Taurate*,Surfactant,Cleansing,Sensitive skin
Microcrystalline Cellulose*,Texture enhancer,Thickening agent,All skin types
Hydrogenated Castor Oil,Emollient,Moisturizing,All skin types
Lithium Magnesium Sodium Silicate,Stabilizer,Thickening and stabilizing,All skin types
Panthenol*,Humectant,"Soothing, hydration",Sensitive skin
Xylitylglucoside*,Humectant,Moisturizing,All skin types
Charcoal Powder,Absorbent,Detoxifying,Oily skin
Melaleuca Alternifolia (Tea Tree) Leaf Oil,Essential oil,Antimicrobial,Acne-prone
Mentha Piperita (Peppermint) Oil,Essential oil,"Cooling, soothing",Oily skin
Zingiber Officinale (Ginger) Root Oil,Essential oil,Stimulating,All skin types
Mentha Viridis (Spearmint) Leaf Oil,Essential oil,"Cooling, soothing",Oily skin
Anhydroxylitol*,Humectant,Moisturizing,All skin types
Bisabolol*,Skin conditioner,Soothing,Sensitive skin
Menthyl Lactate*,Cooling agent,Refreshing,Oily skin
Xylitol*,Humectant,Moisturizing,All skin types
Polyquaternium-7,Conditioner,Smoothing,All skin types
Fragrance,Fragrance,Adds scent,All skin types
Propylene Glycol,Humectant,Hydration,All skin types
Phenoxyethanol,Preservative,"Antimicrobial, extends shelf life",All skin types
Polysorbate 80,Emulsifier,Solubilizes oils in water,All skin types
Sodium Benzoate,Preservative,Antimicrobial,All skin types
Sodium Hyaluronate,Humectant,"Hydration, plumping",All skin types
Hydroxyethylcellulose,Thickener,Enhances texture,All skin types
Disodium EDTA,Chelating agent,Stabilizes formulas,All skin types
Olea Europaea (Olive) Leaf Extract,Antioxidant,Protects from free radicals,"Dry, sensitive"
Benzophenone-4,UV filter,Protects against UV radiation,All skin types
Butylene Glycol,"Humectant, solvent",Hydration,All skin types
Citrus Grandis (Grapefruit) Fruit Extract,Antioxidant,"Refreshing, brightening","Oily, acne-prone"
Cucumis Sativus (Cucumber) Fruit Extract,Skin conditioner,"Soothing, hydrating",Sensitive skin
Thymus Vulgaris (Thyme) Extract,"Antimicrobial, astringent",Clarifying,"Oily, acne-prone"
Benzyl Benzoate,"Solvent, fragrance",Adds scent,All skin types
Alpha-Isomethyl Ionone,Fragrance,Adds scent,All skin types
Morus Bombycis (Morus Bombycis) Root Extract,Antioxidant,Brightening,All skin types
Linalool,Fragrance,Adds scent,All skin types
CI 42090 (Blue 1),Colorant,Adds color,All skin types
Aloe Barbadensis Extract,Skin conditioner,"Soothing, hydrating","Sensitive, dry"
Caprylic/Capric Triglyceride,Emollient,"Moisturizing, softening",All skin types
Cetearyl Alcohol,"Emulsifier, emollient","Stabilizes formulas, moisturizes",All skin types
Tocopheryl Acetate,Antioxidant,Protects from free radicals,All skin types
Vaccinium Myrtillus Extract,Antioxidant,"Brightening, soothing",All skin types
Ceteareth-20,Emulsifier,Mixes oil and water,All skin types
Rosa Canina Flower Oil,"Antioxidant, emollient","Moisturizing, brightening","Dry, mature skin"
Saccharum Officinarum Extract (Sugarcane),Exfoliant,"Brightening, gentle exfoliation",All skin types
Dimethicone,Occlusive,Locks in moisture,All skin types
Propylene Glycol Dicaprylate/Dicaprate,Emollient,"Moisturizing, skin conditioning",All skin types
Citrus Aurantium Dulcis (Orange) Fruit Extract,Antioxidant,"Refreshing, brightening",All skin types
Citrus Medica Limonum (Lemon) Peel Extract,"Antioxidant, astringent","Brightening, clarifying","Oily, acne-prone"
PVP,Film-forming agent,Provides texture and hold,All skin types
Symphytum Officinale Extract,Skin conditioner,"Soothing, healing","Sensitive, dry"
Xanthan Gum,Thickener,Enhances texture,All skin types
Chamomilla Recutita (Matricaria) Flower Extract,Skin conditioner,"Soothing, calming","Sensitive, dry"
Methylparaben,Preservative,Antimicrobial,All skin types
Acer Saccharinum (Sugar Maple) Extract,Exfoliant,"Brightening, gentle exfoliation",All skin types
PPG-1 Trideceth-6,"Emulsifier, surfactant",Enhances texture,All skin types
Ethylparaben,Preservative,Antimicrobial,All skin types
Propylparaben,Preservative,Antimicrobial,All skin types
Isobutylparaben,Preservative,Antimicrobial,All skin types
Butylparaben,Preservative,Antimicrobial,All skin types
Hydroxyethyl Urea,Humectant,"Hydrating, skin conditioning",All skin types
Hydroxyethylpiperazine Ethane Sulfonic Acid,"pH adjuster, buffer",Regulates pH levels,All skin types
Pentylene Glycol,"Humectant, solvent","Moisturizing, skin conditioning",All skin types
Saccharomyces/Xylinum/Black Tea Ferment,Antioxidant,"Antioxidant, anti-aging",All skin types
Glycolic Acid,Alpha Hydroxy Acid (AHA),"Exfoliant, improves skin texture","All skin types, especially oily/acne-prone"
Coco-Glucoside,"Surfactant, cleanser","Cleansing, foaming agent","Sensitive skin, dry skin"
Ammonium Polyacryloyldimethyl Taurate,"Thickener, emulsifier","Improves texture, enhances stability",All skin types
Sodium Methyl Cocoyl Taurate,Surfactant,"Cleansing, gentle foaming agent",All skin types
Phytic Acid,"Exfoliant, antioxidant","Exfoliation, skin brightening",Sensitive skin
Dipropylene Glycol,"Humectant, solvent","Moisturizing, skin conditioning",All skin types
Coconut Acid,"Fatty Acid, surfactant","Cleansing, emulsifying agent","Dry skin, sensitive skin"
Caprylyl Glycol,"Humectant, preservative","Moisturizing, antimicrobial",All skin types
Salicylic Acid,Beta Hydroxy Acid (BHA),"Exfoliant, acne treatment","Oily, acne-prone skin"
Chlorphenesin,Preservative,Antimicrobial,All skin types
Ethylhexylglycerin,"Preservative, emollient","Skin conditioning, antimicrobial",All skin types
Boswellia Serrata Gum,"Resin, anti-inflammatory","Soothing, reduces inflammation",Sensitive skin
Cymbopogon Schoenanthus Oil,"Essential oil, fragrance","Soothing, anti-inflammatory, antimicrobial",All skin types
Citral,"Fragrance, antioxidant","Fragrance, antioxidant properties",All skin types
Citric Acid,Alpha Hydroxy Acid (AHA),"pH adjuster, exfoliant",All skin types
Potassium Sorbate,Preservative,Antimicrobial,All skin types
Tocopherol,"Antioxidant, Vitamin E","Skin conditioning, antioxidant",All skin types
PEG-30 Glyceryl Cocoate,"Emulsifier, surfactant","Helps blend oils and water, mild cleanser","Sensitive skin, dry skin"
Capryl/Capramidopropyl Betaine,"Surfactant, cleanser","Cleansing, foaming agent",Sensitive skin
Disodium Laureth Sulfosuccinate,"Surfactant, cleanser","Mild cleansing, skin conditioning",Sensitive skin
Sodium Hydroxide,pH Adjuster,"Balances pH, neutralizes acids",All skin types
Benzoic Acid,"Preservative, antimicrobial","Preserves products, fights bacteria",All skin types
Tocopheryl Acetate,"Antioxidant, Vitamin E","Skin conditioning, antioxidant",All skin types
Ascorbic Acid,"Antioxidant, Vitamin C","Brightening, antioxidant, collagen synthesis",All skin types
Triethyl Citrate,"Fragrance, solvent","Fragrance enhancer, skin conditioning",All skin types
Ferulic Acid,Antioxidant,"Protects from UV damage, brightening",All skin types
"1,3 Butylene Glycol",Humectant,"Moisturizing, skin conditioning",All skin types
L-Ascorbic Acid USP,"Antioxidant, Vitamin C","Brightening, collagen synthesis, antioxidant",All skin types
Ethoxydiglycol,"Solvent, Humectant","Enhances solubility, moisturizing",All skin types
Citrus Grandis (Grapefruit) Extract,Plant Extract,"Antioxidant, skin brightening, antimicrobial",All skin types
Isodecyl Neopentanoate,"Emollient, Solvent","Softens, smoothens skin, solvent for active ingredients","Dry, Sensitive, All"
Cyclopentasiloxane,Silicone,"Skin conditioning, provides smooth texture",All skin types
Glyceryl Acrylate/Acrylic Acid Copolymer,Polymer,"Film-forming, stabilizes formula",All skin types
Cyclotetrasiloxane,Silicone,"Solvent, skin conditioning, provides smooth texture",All skin types
Sodium Polyacrylate,Polymer,"Thickening agent, moisture retention",All skin types
Hydrogenated Polydecene,Emollient,"Moisturizing, softening skin","Dry, Sensitive, All"
Trideceth-6,Surfactant,"Cleansing agent, emulsifier",All skin types
Sucrose Cocoate,"Surfactant, Emollient","Skin conditioning, gentle cleansing","Sensitive, Dry"
Gynostemma Pentaphyllum Extract,Plant Extract,"Antioxidant, anti-aging, skin-soothing",All skin types
Panax Ginseng Extract,Plant Extract,"Energizing, anti-aging, revitalizing",All skin types
Palmitoyl Oligopeptide,Peptide,"Anti-aging, stimulates collagen production","Mature skin, All"
Palmitoyl Tetrapeptide-7,Peptide,"Anti-aging, skin repair, collagen synthesis","Mature skin, All"
Sodium Ascorbyl Phosphate,Vitamin C Derivative,"Antioxidant, brightening, collagen synthesis",All skin types
Saccharomyces Cerevisiae (Yeast) Extract,Yeast Extract,"Antioxidant, skin barrier repair, moisturizing",All skin types
Cholecalciferol,Vitamin D,"Skin repair, healing, anti-inflammatory","Dry, Sensitive, All"
Retinyl Palmitate,Vitamin A Derivative,"Skin renewal, anti-aging, brightening",All skin types
Hydrolyzed Hyaluronic Acid,Humectant,"Deep hydration, skin plumping","Dry, Sensitive, All"
Dimethiconol,Silicone,"Moisturizing, conditioning, skin-smoothing",All skin types
Diazolidinyl Urea,Preservative,"Antimicrobial, preservative","Sensitive, Oily"
Iodopropynyl Butylcarbamate,Preservative,"Antimicrobial, preservative","Sensitive, Oily"
Allantoin,"Skin Soothing, Healing","Soothes, heals, prevents irritation",All skin types
Ci 14700,Colorant,Adds color to products,All skin types
Mica,Mineral,"Adds shimmer, opacifier",All skin types
Magnesium Myristate,Emollient,"Skin conditioning, enhances texture","Dry, Sensitive"
Nylon-12,Synthetic Polymer,"Provides smooth finish, reduces shine","Oily, Combination"
Octyldodecyl Stearoyl Stearate,Ester,"Emollient, enhances spreadability",All skin types
Hdi/Trimethylol Hexyllactone Crosspolymer,Crosspolymer,"Improves texture, forms flexible film",All skin types
Squalane,"Emollient, Moisturizer","Hydrates, restores skin barrier","Dry, Sensitive, All"
Stearoyl Glutamic Acid,Amino Acid Derivative,"Skin conditioning, improves texture",All skin types
Hydrogenated Polycyclopentadiene,Polymer,"Skin conditioning, film-forming","Dry, Sensitive"
"1,2-Hexanediol","Humectant, Solvent","Moisturizing, solvent for active ingredients",All skin types
Caprylyl Glycol,"Humectant, Emollient","Moisturizing, anti-microbial",All skin types
Silica,Mineral,"Absorbs oil, improves texture","Oily, Combination"
Butylene Glycol,Humectant,"Moisturizing, solvent for active ingredients",All skin types
Aloe Barbadensis Leaf Juice,Plant Extract,"Soothing, moisturizing, anti-inflammatory","Sensitive, Dry"
Caffeine,Active Ingredient,"Reduces puffiness, energizes skin",All skin types
Nylon 6/12,Synthetic Polymer,"Provides smooth texture, film-forming",All skin types
Synthetic Fluorphlogopite,Synthetic Mica,"Adds shimmer, opacifier",All skin types
